Time,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,SdkRequest,ResponseRead
2021-12-29 09:59:28:5751648 PM,480.1264,37.6586,29.9352,162.4748,0.7715,0.8436,681.3425,5.2981
2021-12-29 09:59:28:6655486 PM,35.3307,,,,0.0297,0.0819,39.0098,0.1085
2021-12-29 09:59:28:7449404 PM,37.2755,,,,0.0403,0.028,41.0468,0.053
2021-12-29 09:59:28:8397962 PM,41.2841,,,,0.0211,0.0565,44.451,0.0691
2021-12-29 09:59:28:9153385 PM,35.9425,,,,0.0447,0.0376,39.7534,0.384
2021-12-29 09:59:28:9931904 PM,35.8611,,,,0.0382,0.0485,39.347,0.0778
2021-12-29 09:59:29:0673784 PM,34.8312,,,,0.0247,0.0642,38.5272,0.0672
2021-12-29 09:59:29:1464275 PM,35.3114,,,,0.0223,0.0497,38.725,0.0606
2021-12-29 09:59:29:2079636 PM,33.8714,,,,0.027,0.0224,36.9121,0.0428
2021-12-29 09:59:29:2837164 PM,34.7853,,,,0.0224,0.0218,37.4367,0.0447
2021-12-29 09:59:29:4125845 PM,96.0076,,,,0.0192,0.0275,98.8802,0.0482
2021-12-29 09:59:29:5062078 PM,37.464,,,,0.0236,0.0223,55.7124,0.0436
2021-12-29 09:59:29:5828512 PM,35.5978,,,,0.0365,0.0248,39.3554,0.0509
2021-12-29 09:59:29:6618179 PM,36.9791,,,,0.0198,0.021,39.7001,0.0477
2021-12-29 09:59:29:7384138 PM,33.1136,,,,0.0241,0.0219,36.273,0.0406
2021-12-29 09:59:29:8136052 PM,34.9468,,,,0.0244,0.0211,38.398,0.046
2021-12-29 09:59:29:8920908 PM,34.4723,,,,0.0184,0.0262,37.1457,0.0445
2021-12-29 09:59:29:9680533 PM,33.4807,,,,0.0292,0.0394,37.0604,0.0689
2021-12-29 09:59:30:0450430 PM,35.9791,,,,0.0257,0.0417,39.3939,0.069
2021-12-29 09:59:30:1240168 PM,36.9318,,,,0.0194,0.0711,40.565,0.0574
2021-12-29 09:59:30:2007119 PM,36.2626,,,,0.0302,0.0225,40.5085,0.0525
