Time,Sign,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,Get,ResponseRead
2022-02-03 11:41:12:2410728 PM,116.8908,543.9449,73.4418,25.9009,178.0205,1.1692,1.7029,547.4899,0.2136
2022-02-03 11:41:12:3618775 PM,4.7335,36.8199,,,,0.0542,0.0767,36.9676,0.0071
2022-02-03 11:41:12:4395283 PM,3.76,33.9634,,,,0.0232,0.0284,34.045,0.0056
2022-02-03 11:41:12:5166197 PM,3.1712,34.0395,,,,0.0171,0.0316,34.0937,0.0053
2022-02-03 11:41:12:5951032 PM,2.9473,34.2363,,,,0.0218,0.0567,34.3083,0.0088
2022-02-03 11:41:12:6749488 PM,3.8856,38.7034,,,,0.0333,0.0666,38.8019,0.0171
2022-02-03 11:41:12:7536648 PM,3.9646,34.2569,,,,0.0241,0.0611,34.3648,0.0185
2022-02-03 11:41:12:8326894 PM,3.4335,36.0921,,,,0.026,0.0561,36.1661,0.0127
2022-02-03 11:41:12:9259698 PM,4.9998,43.0523,,,,0.0465,0.0667,43.1606,0.0124
2022-02-03 11:41:13:0183986 PM,6.1471,35.3523,,,,0.0217,0.0443,35.4324,0.0103
2022-02-03 11:41:13:0942138 PM,3.8829,36.0296,,,,0.0542,0.0439,36.1332,0.0128
2022-02-03 11:41:13:1722891 PM,5.0647,32.303,,,,0.0243,0.0446,32.3952,0.0201
2022-02-03 11:41:13:2509485 PM,3.0383,39.8192,,,,0.0178,0.0269,39.8893,0.0116
2022-02-03 11:41:13:3286632 PM,3.3321,33.1281,,,,0.0154,0.0261,33.1871,0.0069
2022-02-03 11:41:13:4031643 PM,3.7568,31.4649,,,,0.0193,0.0433,31.5572,0.0138
2022-02-03 11:41:13:4822497 PM,3.0845,35.6075,,,,0.0164,0.0245,35.6532,0.0069
2022-02-03 11:41:13:5582654 PM,2.5754,35.4786,,,,0.0394,0.0277,35.5474,0.0073
2022-02-03 11:41:13:6377052 PM,2.6436,32.1328,,,,0.0154,0.0263,32.178,0.0148
2022-02-03 11:41:13:7012530 PM,2.4607,31.7789,,,,0.0154,0.0221,31.8383,0.0254
2022-02-03 11:41:13:7619907 PM,3.0053,32.6442,,,,0.0165,0.0194,32.6936,0.0065
2022-02-03 11:41:13:8239353 PM,2.3981,32.1183,,,,0.0158,0.024,32.1652,0.0068
2022-02-03 11:41:13:8854512 PM,2.3163,33.2757,,,,0.0151,0.0183,33.3247,0.007
2022-02-03 11:41:13:9623563 PM,2.3068,33.8182,,,,0.0162,0.0184,33.8628,0.0062
2022-02-03 11:41:14:0385043 PM,2.3999,36.8466,,,,0.0156,0.0652,36.8964,0.0068
2022-02-03 11:41:14:1015714 PM,2.7952,32.7216,,,,0.0157,0.0226,32.7729,0.007
2022-02-03 11:41:14:1787256 PM,3.4001,33.9286,,,,0.0184,0.0254,33.9894,0.0066
2022-02-03 11:41:14:2559961 PM,2.5215,34.0354,,,,0.0303,0.0236,34.0804,0.0069
2022-02-03 11:41:14:3164518 PM,2.3058,35.274,,,,0.0149,0.0208,35.3276,0.0064
2022-02-03 11:41:14:3945860 PM,2.4833,45.0136,,,,0.0173,0.0383,45.0644,0.0065
2022-02-03 11:41:14:4572165 PM,2.2275,33.8697,,,,0.015,0.0275,33.9153,0.0069
2022-02-03 11:41:14:5186854 PM,2.3968,32.1369,,,,0.0152,0.0347,32.1937,0.0067
2022-02-03 11:41:14:5968519 PM,2.1999,32.9176,,,,0.015,0.0207,32.9634,0.0072
2022-02-03 11:41:14:6602006 PM,2.0033,34.4803,,,,0.0212,0.057,34.5268,0.0089
2022-02-03 11:41:14:7364628 PM,2.4885,33.3544,,,,0.015,0.0731,33.4551,0.0368
2022-02-03 11:41:14:8125913 PM,2.4088,32.0168,,,,0.0238,0.0228,32.0718,0.0028
2022-02-03 11:41:14:8758114 PM,2.3038,30.9385,,,,0.0158,0.0229,30.9831,0.0026
2022-02-03 11:41:14:9541160 PM,2.2083,36.7285,,,,0.0156,0.0191,36.7666,0.0032
2022-02-03 11:41:15:0292409 PM,1.0726,33.5857,,,,0.0219,0.0245,33.6296,0.0043
2022-02-03 11:41:15:0913983 PM,2.1268,32.3471,,,,0.0123,0.0386,32.3836,0.003
2022-02-03 11:41:15:1534394 PM,2.3697,31.064,,,,0.0133,0.036,31.1071,0.0029
2022-02-03 11:41:15:2302137 PM,2.7626,34.3056,,,,0.0127,0.0191,34.3464,0.0055
2022-02-03 11:41:15:2933523 PM,2.0918,32.371,,,,0.0127,0.0189,32.4286,0.0032
2022-02-03 11:41:15:3566421 PM,1.9803,32.6891,,,,0.0117,0.0181,32.7513,0.0029
2022-02-03 11:41:15:4183514 PM,2.7771,31.6489,,,,0.0129,0.0189,31.6887,0.0033
2022-02-03 11:41:15:4784819 PM,2.4178,32.2733,,,,0.0137,0.0199,32.313,0.0025
2022-02-03 11:41:15:5546346 PM,2.6976,30.821,,,,0.0136,0.0216,30.8698,0.003
2022-02-03 11:41:15:6179162 PM,2.3584,31.1308,,,,0.0132,0.0198,31.1677,0.003
2022-02-03 11:41:15:6804865 PM,2.4163,31.0168,,,,0.0142,0.0185,31.0556,0.0031
2022-02-03 11:41:15:7541715 PM,2.3287,31.614,,,,0.0126,0.0238,31.6539,0.0025
2022-02-03 11:41:15:8143902 PM,2.3847,30.7145,,,,0.0141,0.0188,30.7552,0.0024
2022-02-03 11:41:15:8769558 PM,2.2844,33.2791,,,,0.0125,0.0334,33.3152,0.0026
2022-02-03 11:41:15:9529702 PM,3.0093,32.8368,,,,0.0127,0.0199,32.8733,0.0028
2022-02-03 11:41:16:0292193 PM,2.9061,34.6397,,,,0.0122,0.0206,34.6778,0.0032
2022-02-03 11:41:16:1056281 PM,2.3616,32.9667,,,,0.0128,0.0364,33.0033,0.0029
2022-02-03 11:41:16:1848335 PM,2.286,36.4928,,,,0.0125,0.0312,36.5308,0.0035
2022-02-03 11:41:16:2612798 PM,3.9994,33.2452,,,,0.0188,0.0251,33.3109,0.0026
2022-02-03 11:41:16:3377439 PM,2.8958,32.8862,,,,0.0123,0.1699,32.9465,0.0043
2022-02-03 11:41:16:4187620 PM,0.4016,38.8262,,,,0.0117,0.0192,39.2574,0.0033
2022-02-03 11:41:16:4782866 PM,0.9865,32.4585,,,,0.0283,0.0219,32.4921,0.0029
2022-02-03 11:41:16:5425301 PM,0.7924,32.048,,,,0.0128,0.0185,33.4146,0.0026
2022-02-03 11:41:16:6047452 PM,0.7087,33.3973,,,,0.0122,0.0188,34.962,0.0028
2022-02-03 11:41:16:6826015 PM,0.8486,33.4911,,,,0.0183,0.0181,35.0867,0.003
2022-02-03 11:41:16:7485938 PM,0.7118,31.2517,,,,0.0127,0.018,32.7928,0.0026
2022-02-03 11:41:16:8409850 PM,0.9275,34.4789,,,,0.0113,0.0293,34.5225,0.0223
2022-02-03 11:41:16:9030208 PM,2.2967,30.8082,,,,0.0123,0.0197,30.845,0.0033
2022-02-03 11:41:16:9647034 PM,2.5208,30.6035,,,,0.0116,0.018,30.6445,0.0054
2022-02-03 11:41:17:0286385 PM,2.4521,30.848,,,,0.0235,0.0421,30.8858,0.0031
2022-02-03 11:41:17:1046783 PM,2.5125,35.2635,,,,0.0121,0.0227,35.2988,0.0028
